241;1-я Рыбинская Улица
242;1-я Северная Линия
244;1-я Сестрорецкая Улица
245;1-я Синичкина Улица
246;1-я Сокольническая Улица
247;1-я Стекольная Улица
248;1-я Тверская-Ямская Улица
249;1-я Текстильщиков Улица
250;1-я Улица Ямского Поля
251;1-я Фрезерная Улица
252;1-я Фрунзенская Улица
253;1-я Хорошёвского Серебряного Бора Линия
254;1-я Хуторская Улица
255;1-я Чоботовская Аллея
257;1-я Ямская Улица
258;200 Квартал
269;25 Октября Улица
270;26 Бакинских Комиссаров Улица
272;Балчуг Улица
273;2-й Автозаводский Проезд
274;2-й Амбулаторный Проезд
275;2-й Бабьегородский Переулок
276;2-й Балтийский Переулок
278;2-й Богатырский Переулок
279;2-й Богучарский Переулок
280;2-й Ботанический Проезд
281;2-й Боткинский Проезд
283;2-й Варшавский Проезд
284;2-й Верхний Михайловский Проезд
285;2-й Войковский Проезд
286;2-й Волконский Переулок
287;2-й Вольный Переулок
288;2-й Вражский Переулок
289;2-й Вышеславцев Переулок
290;2-й Вязовский Проезд
291;2-й Гончарный Переулок
293;2-й Дачно-Мещерский Проезд
295;2-й Динамовский Переулок
296;2-й Добрынинский Переулок
297;2-й Донской Проезд
298;2-й Дорогобужский Переулок
300;2-й Зачатьевский Переулок
303;2-й Измайловского Зверинца Переулок
304;2-й Институтский Проезд
305;2-й Ирининский Переулок
306;2-й Иртышский Проезд
307;2-й Кабельный Проезд
308;2-й Кадашевский Переулок
310;2-й Казачий Переулок
311;2-й Капотнинский Проезд
312;2-й Карачаровский Проезд
313;2-й Кожевнический Переулок
314;2-й Кожуховский Проезд
315;2-й Колобовский Переулок
317;2-й Котельнический Переулок
318;2-й Котляковский Переулок
319;2-й Красковский Проезд
320;2-й Красногвардейский Проезд
322;2-й Краснокурсантский Проезд
323;2-й Красносельский Переулок
324;2-й Крестовский Переулок
325;2-й Крутицкий Переулок
326;2-й Курьяновский Проезд
327;2-й Лихачёвский Переулок
328;2-й Лучевой Просек
329;2-й Люберецкий Проезд
330;2-й Магистральный Тупик
331;2-й Марьиной Рощи Проезд
332;2-й Миргородский Переулок
333;2-й Митинский Переулок
334;2-й Монетчиковский Переулок
336;2-й Мосфильмовский Переулок
337;2-й Нагатинский Проезд
338;2-й Неопалимовский Переулок
340;2-й Николощеповский Переулок
341;2-й Новокузнецкий Переулок
342;2-й Новоподмосковный Переулок
343;2-й Новый Переулок
344;2-й Обыденский Переулок
345;2-й Очаковский Переулок
346;2-й Павелецкий Проезд
347;2-й Павловский Переулок
348;2-й Пенягинский Проезд
349;2-й Перова Поля Проезд
350;2-й Петра Алексеева Переулок
352;2-й Полевой Переулок
356;2-й Пятигорский Проезд
357;2-й Раушский Переулок
359;2-й Ростовский Переулок
360;2-й Рощинский Проезд
361;2-й Самотёчный Переулок
362;2-й Саратовский Проезд
363;2-й Сельскохозяйственный Проезд
364;2-й Сетуньский Проезд
365;2-й Силикатный Проезд
366;2-й Смоленский Переулок
367;2-й Спасоналивковский Переулок
368;2-й Стрелецкий Проезд
369;2-й Сыромятнический Переулок
370;2-й Тверской-Ямской Переулок
371;2-й Троицкий Переулок
372;2-й Тружеников Переулок
373;2-й Тульский Переулок
374;2-й Тушинский Проезд
375;2-й Угрешский Проезд
376;2-й Хвостов Переулок
378;2-й Хорошёвский Проезд
379;2-й Хуторской Переулок
381;2-й Щемиловский Переулок
382;2-й Щипковский Переулок
384;2-й Южнопортовый Проезд
387;2-я Бауманская Улица
388;2-я Бебеля Улица
389;2-я Белогорская Улица
390;2-я Боевская Улица
391;2-я Бородинская Улица
392;2-я Брестская Улица
393;2-я Бухвостова Улица
394;2-я Владимирская Улица
395;2-я Внуковская Улица
396;2-я Вольская Улица
397;2-я Горловская Улица
398;2-я Гражданская Улица
399;2-я Дубровская Улица
400;2-я Дьяково Городище Улица
401;2-я Железногорская Улица
402;2-я Звенигородская Улица
403;2-я Измайловского Зверинца Улица
404;2-я Институтская Улица
405;2-я Кабельная Улица
406;2-я Карачаровская Улица
407;2-я Карпатская Улица
409;2-я Курьяновская Улица
410;2-я Лазенки Улица
411;2-я Леснорядская Улица
412;2-я Лукино Улица
413;2-я Магистральная Улица
414;2-я Марьиной Рощи Улица
415;2-я Машиностроения Улица
416;2-я Мелитопольская Улица
417;2-я Миусская Улица
418;2-я Муравская Улица
419;2-я Мытищинская Улица
420;2-я Мякининская Улица
421;2-я Мясниковская Улица
422;2-я Напрудная Улица
424;2-я Новоостанкинская Улица
425;2-я Новорублевская Улица
426;2-я Новосёлки Улица
427;2-я Новые Сады Улица
428;2-я Останкинская Улица
429;2-я Павлоградская Улица
430;2-я Парковая Улица
431;2-я Песчаная Улица
432;2-я Подрезковская Улица
433;2-я Покровская Улица
434;2-я Прогонная Улица
435;2-я Прядильная Улица
436;2-я Пугачевская Улица
438;2-я Радиаторская Улица
439;2-я Рейсовая Улица
440;2-я Рославка Улица
441;2-я Рощинская Улица
442;2-я Рыбинская Улица
443;2-я Самаринская Улица
444;2-я Северная Линия
446;2-я Сестрорецкая Улица
447;2-я Синичкина Улица
448;2-я Сокольническая Улица
449;2-я Тверская-Ямская Улица
450;2-я Филевская Улица
451;2-я Фрезерная Улица
452;2-я Фрунзенская Улица
454;2-я Хорошёвского Серебряного Бора Линия
455;2-я Чоботовская Аллея
456;2-я Энтузиастов Улица
457;2-я Ямская Улица
461;326-й Проезд
470;3 Интернационала Улица
471;3-й Автозаводский Проезд
472;3-й Балтийский Переулок
475;3-й Волоколамский Проезд
477;3-й Голутвинский Переулок
478;3-й Дачно-Мещерский Проезд
480;3-й Добрынинский Переулок
481;3-й Донской Проезд
482;3-й Дорогобужский Переулок
483;3-й Дорожный Проезд
485;3-й Зачатьевский Переулок
487;3-й Кадашевский Переулок
488;3-й Капотня Квартал
490;3-й Кожуховский Проезд
491;3-й Колобовский Переулок
492;3-й Котельнический Переулок
493;3-й Красногорский Проезд
494;3-й Красносельский Переулок
495;3-й Крутицкий Переулок
496;3-й Лесной Переулок
497;3-й Лихачёвский Переулок
498;3-й Лучевой Просек
499;3-й Люберецкий Проезд
500;3-й Люсиновский Переулок
501;3-й Митинский Переулок
502;3-й Михалковский Переулок
503;3-й Монетчиковский Переулок
506;3-й Неопалимовский Переулок
507;3-й Нижнелихоборский Проезд
508;3-й Новомихалковский Проезд
509;3-й Новоподмосковный Переулок
510;3-й Новый Переулок
511;3-й Обыденский Переулок
513;3-й Очаковский Переулок
514;3-й Павелецкий Проезд
515;3-й Павловский Переулок
516;3-й Перова Поля Проезд
517;3-й Подбельского Проезд
521;3-й Самотёчный Переулок
522;3-й Сетуньский Проезд
523;3-й Силикатный Проезд
525;3-й Стрелецкий Проезд
526;3-й Сыромятнический Переулок
528;3-й Тушинский Проезд
529;3-й Угрешский Проезд
531;3-й Хорошёвский Проезд
535;3-я Бебеля Улица
536;3-я Богатырская Улица
537;3-я Бухвостова Улица
538;3-я Владимирская Улица
539;3-я Внуковская Улица
540;3-я Гражданская Улица
541;3-я Железногорская Улица
542;3-я Институтская Улица
543;3-я Кабельная Улица
544;3-я Карачаровская Улица
545;3-я Красногвардейская Улица
546;3-я Курьяновская Улица
547;3-я Лазенки Улица
549;3-я Магистральная Улица
550;3-я Марьиной Рощи Улица
551;3-я Музейная Улица
552;3-я Мытищинская Улица
553;3-я Мякининская Улица
556;3-я Новоостанкинская Улица
557;3-я Новосёлки Улица
558;3-я Новые Сады Улица
559;3-я Павлоградская Улица
560;3-я Песчаная Улица
561;3-я Подрезковская Улица
562;3-я Прядильная Улица
563;3-я Радиальная Улица
564;3-я Радиаторская Улица
565;3-я Рощинская Улица
566;3-я Рыбинская Улица
567;3-я Северная Линия
568;3-я Сестрорецкая Улица
569;3-я Соколиной Горы Улица
570;3-я Сокольническая Улица
571;3-я Тверская-Ямская Улица
572;3-я Улица Ямского Поля
573;3-я Филевская Улица
574;3-я Фрунзенская Улица
575;3-я Хорошёвская Улица
576;3-я Хорошёвского Серебряного Бора Линия
577;3-я Черкизовская Улица
578;3-я Чоботовская Аллея
580;40 лет Октября Проспект
595;4-й Верхний Михайловский Проезд
596;4-й Вешняковский Проезд
597;4-й Войковский Проезд
598;4-й Вятский Переулок
599;4-й Голутвинский Переулок
600;4-й Дачно-Мещерский Проезд
601;4-й Добрынинский Переулок
604;4-й Загородный Проезд
606;4-й Капотня Квартал
607;4-й Кожевнический Переулок
608;4-й Котельнический Переулок
609;4-й Красногорский Проезд
610;4-й Красносельский Переулок
611;4-й Крутицкий Переулок
612;4-й Лесной Переулок
613;4-й Лихачёвский Переулок
614;4-й Лучевой Просек
615;4-й Люберецкий Проезд
616;4-й Марьиной Рощи Проезд
617;4-й Монетчиковский Переулок
618;4-й Новомихалковский Проезд
619;4-й Новоподмосковный Переулок
620;4-й Очаковский Переулок
621;4-й Перова Поля Проезд
622;4-й Подбельского Проезд
624;4-й Ростовский Переулок
625;4-й Рощинский Проезд
626;4-й Самотёчный Переулок
627;4-й Сетуньский Проезд
628;4-й Стрелецкий Проезд
629;4-й Сыромятнический Переулок
631;4-й Хуторской Переулок
635;4-я 8 Марта Улица
637;4-я Внуковская Улица
638;4-я Гражданская Улица
639;4-я Железногорская Улица
640;4-я Кабельная Улица
641;4-я Курьяновская Улица
642;4-я Лазенки Улица
643;4-я Магистральная Улица
644;4-я Марьиной Рощи Улица
645;4-я Мякининская Улица
647;4-я Новокузьминская Улица
648;4-я Новосёлки Улица
649;4-я Новые Сады Улица
650;4-я Павлоградская Улица
651;4-я Парковая Улица
652;4-я Северная Линия
653;4-я Сокольническая Улица
654;4-я Тверская-Ямская Улица
655;4-я Хорошёвского Серебряного Бора Линия
656;4-я Чоботовская Аллея
658;50-летия Октября Площадь
659;50 лет Октября Улица
664;5-й Верхний Михайловский Проезд
665;5-й Войковский Проезд
666;5-й Дачно-Мещерский Проезд
667;5-й Донской Проезд
669;5-й Капотня Квартал
670;5-й Котельнический Переулок
671;5-й Красносельский Переулок
672;5-й Лучевой Просек
673;5-й Марьиной Рощи Проезд
674;5-й Монетчиковский Переулок
676;5-й Новоподмосковный Переулок
677;5-й Останкинский Переулок
678;5-й Очаковский Переулок
679;5-й Подбельского Проезд
681;5-й Рощинский Проезд
685;5-я Внуковская Улица
686;5-я Железногорская Улица
